ClassTissuePost,ClassTissuePre,ClassTissueFlair,ClassTumorPost,ClassTumorPre,ClassTumorFlair,ClassEdemaPost,ClassEdemaPre,ClassEdemaFlair
0.9203857,1.1126981,1.0260376,1.3335135,1.0061684,1.7825752,1.0084158,1.0849186,1.537932
0.8581474,1.0328761,1.055628,1.4225526,1.6635458,1.6892587,0.9367456,1.0738715,1.6546043
0.93363315,1.1297927,1.2055315,1.3185985,0.90639395,1.1382658,0.9162914,1.0361205,1.3741639
1.0683029,1.178178,1.1407955,1.2137232,1.069183,1.4459653,1.0051514,1.1411803,1.4541556
1.0644352,1.08314,1.1198267,1.4865283,1.2871757,1.3348275,0.99839884,1.1883935,0.7670053
0.061253645,1.025865,0.42264652,1.3669357,1.1969228,1.174822,0.94864875,1.0958518,1.5636449
0.16454531,0.04410935,0.074558474,1.6221602,1.1238319,1.1838111,0.9015021,1.0348418,1.5483323
0.111524865,0.41329142,0.0689422,1.8632857,1.1845157,1.5542376,0.9017202,1.0298331,1.6445814
0.38351744,0.28128567,0.08503361,1.9723772,0.8870106,1.0215166,0.8848792,1.0474485,1.6309232
0.4667515,0.46349126,0.42089632,1.6892242,1.2002858,1.5705626,1.0891193,1.1329042,1.132517
0.8888446,0.586539,0.45291623,1.2297399,0.89064157,1.3111811,1.0141338,1.2425444,1.5720401
0.14844656,0.5009634,0.1063871,1.8247468,0.87413305,0.84703636,1.22916,0.92248374,0.93373466
0.124055915,1.0526555,0.6980847,1.720892,0.95955366,0.98309785,1.0903904,1.1254505,1.1380367
1.2624097,1.1613284,1.0352428,1.7478542,1.1295211,1.5323949,0.65860677,1.3456905,1.427851
1.08282,1.1765653,1.2176814,2.1902726,1.1973106,1.6802037,0.99593073,0.96821254,1.6711202
1.0632044,0.8435995,0.91177696,1.6804688,1.2958497,1.7782334,1.0103643,1.0730453,1.8129439
0.2121411,0.20449917,0.06998253,1.694058,0.8802575,1.1140288,1.0357412,1.1500812,1.6261919
0.9634388,1.0842249,1.0998193,1.6513349,1.3118253,1.8813499,1.08425,1.2829125,1.4184979
1.1771885,1.1145827,0.93416554,1.7115154,1.2860787,1.7127805,0.8423087,0.9115982,1.687203
1.0978824,1.1175723,1.0746937,1.3778523,1.2130132,1.3174741,1.1674004,1.2232503,1.3216709
0.034585383,0.71688306,0.13422722,1.4991888,1.2426397,1.3617219,0.71384865,0.9542459,1.154203
0.030489173,0.094317086,0.099540986,2.3053553,1.3325043,1.8302643,0.88565856,1.0461724,1.6044455
0.15050481,0.63989943,0.27082366,1.6847198,1.2610868,1.4812448,0.82084435,1.0666747,1.2135578
0.92713886,1.0748031,1.114113,1.0390675,1.1407292,1.3961297,0.9846131,1.0776798,1.4871925
1.4195845,1.0897006,1.0600315,1.2772578,1.2253102,1.6868498,1.0345006,1.1519166,1.4975033
1.0056468,1.0827143,0.95955694,1.9441104,1.3201412,1.5240372,1.0109504,1.1279964,1.6210774
0.7509952,0.54350007,0.2665698,1.5518057,1.3699794,1.5319582,0.91531754,1.1526735,0.92336005
0.3904779,0.21415307,0.103596166,1.8168803,0.7111986,0.5813851,1.0936767,1.1527587,1.2162917
1.046485,1.0300035,0.960378,1.5755416,1.1274239,1.4181105,1.0449476,1.1917347,1.2012135
0.02727763,0.88557696,0.5414152,1.461487,1.2355356,1.2778497,0.980525,1.1222949,1.6792326
0.107522726,0.121324226,0.004120378,1.952117,0.8256761,0.73387456,1.0209527,1.126323,1.41161
0.47454977,0.2877463,0.012485352,1.8348162,0.93514746,1.096194,1.0481,1.0630362,1.2346747
1.2184808,0.81438345,0.29849923,1.5560468,1.2200537,2.1745222,1.0945443,1.2074546,1.3320111
